Regulatory gene;Ortholog of the regulatory gene;Target gene;Ortholog of the target gene;Mode of regulation;Reference (PubMed)
rpoN (AL347_11175);rpoN;lhpO (AL347_06840);lhpO;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1255 (AL347_06845);PA1255 (lhpK);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1243 (AL347_06915);PA1243;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1197 (AL347_07145);PA1197;+;Homology from 25780925
rpoN (AL347_11175);rpoN;ddaH (AL347_07155);ddaH;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1194 (AL347_07160);PA1194;+;Homology from 25780925
rpoN (AL347_11175);rpoN;dctA (AL347_07215);dctA;+;Homology from 25780925
rpoN (AL347_11175);rpoN;dctR (AL347_07225);dctR;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1170 (AL347_07285);PA1170;+;Homology from 25780925
rpoN (AL347_11175);rpoN;nrdA (AL347_07355);nrdA;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1115 (AL347_07585);PA1115;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1114 (AL347_07590);PA1114;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1111 (AL347_07620);PA1111;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliJ (AL347_07650);fliJ;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliI (AL347_07655);fliI;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliH (AL347_07660);fliH;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliG (AL347_07665);fliG;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliF (AL347_07670);fliF;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliE (AL347_07675);fliE;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fleR (AL347_07680);fleR;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fleS (AL347_07685);fleS;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1096 (AL347_07695);PA1096;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliS (AL347_07700);fliS;+;Homology from 25780925
rpoN (AL347_11175);rpoN;fliD (AL347_07705);fliD;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1093 (AL347_07710);PA1093;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1091 (AL347_07720);PA1091 (fgtA);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1089 (AL347_07730);PA1089;+;Homology from 25780925
rpoN (AL347_11175);rpoN;flgG (AL347_07765);flgG;+;Homology from 25780925
rpoN (AL347_11175);rpoN;flgE (AL347_07775);flgE;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1014 (AL347_08130);PA1014 (wapB);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA1004 (AL347_08185);PA1004 (nadA);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0976 (AL347_08325);PA0976;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0975 (AL347_08330);PA0975;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0974 (AL347_08335);PA0974;+;Homology from 25780925
rpoN (AL347_11175);rpoN;oprL (AL347_08340);oprL;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0947 (AL347_08475);PA0947;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0942 (AL347_08505);PA0942;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0941 (AL347_08510);PA0941;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0940 (AL347_08515);PA0940;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0939 (AL347_08520);PA0939;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0923 (AL347_08605);PA0923 (dinB, dinP);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0921 (AL347_08620);PA0921;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0910 (AL347_08930);PA0910 (alpD);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0812 (AL347_09450);PA0812;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0811 (AL347_09455);PA0811;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0810 (AL347_09460);PA0810;+;Homology from 25780925
rpoN (AL347_11175);rpoN;asrA (AL347_09620);asrA;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0778 (AL347_09625);PA0778 (icp);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0777 (AL347_09630);PA0777;+;Homology from 25780925
rpoN (AL347_11175);rpoN;vfr (AL347_21140);vfr;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0602 (AL347_20890);PA0602;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0578 (AL347_20770);PA0578;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0575 (AL347_20755);PA0575 (rmcA);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0508 (AL347_20375);PA0508;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0505 (AL347_20355);PA0505;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0476 (AL347_20215);PA0476;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0456 (AL347_20105);PA0456;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0444 (AL347_20050);PA0444;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0443 (AL347_20045);PA0443;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0439 (AL347_20020);PA0439;+;Homology from 25780925
rpoN (AL347_11175);rpoN;codB (AL347_20010);codB;+;Homology from 25780925
rpoN (AL347_11175);rpoN;codA (AL347_20005);codA;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0431 (AL347_19975);PA0431;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0382 (AL347_19720);PA0382 (micA, yggH);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0381 (AL347_19715);PA0381 (thiG);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0354 (AL347_19575);PA0354;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0329 (AL347_19445);PA0329;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0328 (AL347_19440);PA0328 (aaaA);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0324 (AL347_19415);PA0324;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0322 (AL347_19405);PA0322;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0321 (AL347_19400);PA0321;+;Homology from 25780925
rpoN (AL347_11175);rpoN;spuH (AL347_19305);spuH;+;Homology from 25780925
rpoN (AL347_11175);rpoN;spuG (AL347_19300);spuG;+;Homology from 25780925
rpoN (AL347_11175);rpoN;spuF (AL347_19295);spuF;+;Homology from 25780925
rpoN (AL347_11175);rpoN;oprE (AL347_19240);oprE;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0222 (AL347_18880);PA0222;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0221 (AL347_18875);PA0221;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0220 (AL347_18870);PA0220;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0219 (AL347_18865);PA0219;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0218 (AL347_18855);PA0218;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0168 (AL347_18625);PA0168;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0167 (AL347_18620);PA0167;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0166 (AL347_18615);PA0166;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0165 (AL347_18610);PA0165;+;Homology from 25780925
rpoN (AL347_11175);rpoN;triC (AL347_18575);triC;+;Homology from 25780925
rpoN (AL347_11175);rpoN;triB (AL347_18570);triB;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0156 (AL347_18565);PA0156 (triA);+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0147 (AL347_18515);PA0147;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0146 (AL347_18510);PA0146;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0144 (AL347_18500);PA0144;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0138 (AL347_18465);PA0138;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0137 (AL347_18460);PA0137;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0136 (AL347_18455);PA0136;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0116 (AL347_18355);PA0116;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0115 (AL347_18350);PA0115;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0046 (AL347_18000);PA0046;+;Homology from 25780925
rpoN (AL347_11175);rpoN;PA0045 (AL347_17995);PA0045;+;Homology from 25780925
rpoN (AL347_11175);rpoN;sbrI (AL347_28405);sbrI;?;Homology from 25780925, 29729420
rpoN (AL347_11175);rpoN;algD (AL347_25110);algD;d;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgB (AL347_07790);flgB;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgC (AL347_07785);flgC;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgD (AL347_07780);flgD;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgF (AL347_07770);flgF;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgH (AL347_07760);flgH;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgI (AL347_07755);flgI;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgJ (AL347_07750);flgJ;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgK (AL347_07745);flgK;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flgL (AL347_07740);flgL;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;flhF (AL347_05500);flhF;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;PA1442 (AL347_05555);PA1442;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;wbpI (AL347_27085);orfK;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;wbpK (AL347_27095);orfM;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;wbpL (AL347_27100);orfN;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;phaG (AL347_07885);phaG;+;27242034*, 18974177*, 22587778
rpoN (AL347_11175);rpoN;gacA (AL347_30505);gacA;?;27242034*
rpoS (AL347_24665);rpoS;rhlI (AL347_25330);rhlI;-;10894749
rpoS (AL347_24665);rpoS;exsC (AL347_04150);exsC;+;18974177
rpoS (AL347_24665);rpoS;exsE (AL347_04145);exsE;+;18974177
rpoS (AL347_24665);rpoS;exsB (AL347_04140);exsB;+;18974177
rpoS (AL347_24665);rpoS;exsA (AL347_04135);exsA;+;18974177
rpoS (AL347_24665);rpoS;azu (AL347_14220);azu;+;18974177
rpoS (AL347_24665);rpoS;coxB (AL347_18300);coxB;+;19930444
rpoS (AL347_24665);rpoS;coxA (AL347_18305);coxA;+;19930444
rpoS (AL347_24665);rpoS;PA0107 (AL347_18310);PA0107;+;19930444
rpoS (AL347_24665);rpoS;coIII (AL347_18315);coIII;+;19930444
rpoS (AL347_24665);rpoS;cioB (AL347_23070);cioB;+;19930444
rpoS (AL347_24665);rpoS;cioA (AL347_23065);cioA;+;19930444
rpoS (AL347_24665);rpoS;bphO (AL347_22115);bphO;+;21415115
rpoS (AL347_24665);rpoS;bphP (AL347_22110);bphP;+;21415115
rpoS (AL347_24665);rpoS;PA1351 (AL347_06340);PA1351;?;29729420
rpoS (AL347_24665);rpoS;PA5537 (AL347_17505);PA5537;+;Homology from 25780925
rpoS (AL347_24665);rpoS;yegQ (AL347_17005);yegQ;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5439 (AL347_17000);PA5439;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5359 (AL347_16555);PA5359;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5343 (AL347_16470);PA5343;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5342 (AL347_16465);PA5342;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5319 (AL347_16350);PA5319 (radC);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5283 (AL347_16165);PA5283;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5208 (AL347_15775);PA5208;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5207 (AL347_15770);PA5207;+;Homology from 25780925
rpoS (AL347_24665);rpoS;arcC (AL347_15590);arcC;+;Homology from 25780925
rpoS (AL347_24665);rpoS;arcB (AL347_15585);arcB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;arcA (AL347_15580);arcA;+;Homology from 25780925
rpoS (AL347_24665);rpoS;arcD (AL347_15575);arcD;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5103 (AL347_15160);PA5103 (puuR);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5102 (AL347_15155);PA5102;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5101 (AL347_15150);PA5101;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5059 (AL347_14945);PA5059;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA5058 (AL347_14940);PA5058 (phaC2, phaC);+;Homology from 25780925
rpoS (AL347_24665);rpoS;aceE (AL347_14705);aceE;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4929 (AL347_14255);PA4929;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4915 (AL347_14185);PA4915;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4874 (AL347_13980);PA4874;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4829 (AL347_13750);PA4829 (lpd3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4781 (AL347_13505);PA4781;+;Homology from 25780925
rpoS (AL347_24665);rpoS;fur (AL347_13415);fur;+;Homology from 25780925
rpoS (AL347_24665);rpoS;carA (AL347_13380);carA;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4757 (AL347_13375);PA4757;+;Homology from 25780925
rpoS (AL347_24665);rpoS;carB (AL347_13370);carB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4703 (AL347_13085);PA4703;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4702 (AL347_13080);PA4702;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4657 (AL347_12805);PA4657;+;Homology from 25780925
rpoS (AL347_24665);rpoS;cupE6 (AL347_12785);cupE6;+;Homology from 25780925
rpoS (AL347_24665);rpoS;cupE5 (AL347_12780);cupE5;+;Homology from 25780925
rpoS (AL347_24665);rpoS;cupE4 (AL347_12775);cupE4;+;Homology from 25780925
rpoS (AL347_24665);rpoS;cupE3 (AL347_12770);cupE3;+;Homology from 25780925
rpoS (AL347_24665);rpoS;cupE2 (AL347_12765);cupE2;+;Homology from 25780925
rpoS (AL347_24665);rpoS;cupE1 (AL347_12760);cupE1;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4647 (AL347_12755);PA4647 (uraA, pyrP);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4639 (AL347_12715);PA4639;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4631 (AL347_12665);PA4631;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4624 (AL347_12630);PA4624 (cdrB);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4608 (AL347_12535);PA4608 (mapZ);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4607 (AL347_12530);PA4607;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4573 (AL347_12350);PA4573;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4540 (AL347_11575);PA4540;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4523 (AL347_11485);PA4523;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4497 (AL347_11350);PA4497 (dppA2);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4496 (AL347_11345);PA4496 (dppA1);+;Homology from 25780925
rpoS (AL347_24665);rpoS;roxS (AL347_11335);roxS;+;Homology from 25780925
rpoS (AL347_24665);rpoS;roxR (AL347_11330);roxR;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4431 (AL347_11020);PA4431;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4430 (AL347_11015);PA4430;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4429 (AL347_11010);PA4429;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4428 (AL347_11005);PA4428 (sspA);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4427 (AL347_11000);PA4427 (sspB);+;Homology from 25780925
rpoS (AL347_24665);rpoS;sodB (AL347_10680);sodB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4362 (AL347_10660);PA4362;+;Homology from 25780925
rpoS (AL347_24665);rpoS;flp (AL347_10365);flp;+;Homology from 25780925
rpoS (AL347_24665);rpoS;rcpC (AL347_10360);rcpC;+;Homology from 25780925
rpoS (AL347_24665);rpoS;rcpA (AL347_10355);rcpA;+;Homology from 25780925
rpoS (AL347_24665);rpoS;tadA (AL347_10345);tadA;+;Homology from 25780925
rpoS (AL347_24665);rpoS;tadB (AL347_10340);tadB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;tadZ (AL347_10350);tadZ;+;Homology from 25780925
rpoS (AL347_24665);rpoS;tadD (AL347_10330);tadD;+;Homology from 25780925
rpoS (AL347_24665);rpoS;pprB (AL347_10315);pprB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4294 (AL347_10305);PA4294;+;Homology from 25780925
rpoS (AL347_24665);rpoS;pprA (AL347_10300);pprA;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4282 (AL347_10245);PA4282;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4281 (AL347_10240);PA4281 (sbcD);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA4112 (AL347_22135);PA4112;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3957 (AL347_22925);PA3957;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3956 (AL347_22930);PA3956;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3945 (AL347_22990);PA3945;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3921 (AL347_23115);PA3921;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3920 (AL347_23120);PA3920 (copA1, yvgX, cueA);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3858 (AL347_23445);PA3858;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3833 (AL347_23585);PA3833;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3786 (AL347_23825);PA3786;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3740 (AL347_24070);PA3740;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3688 (AL347_24335);PA3688;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3687 (AL347_24340);PA3687 (ppc);+;Homology from 25780925
rpoS (AL347_24665);rpoS;rpoS (AL347_24665);rpoS;?;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3593 (AL347_24820);PA3593;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3592 (AL347_24825);PA3592;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3591 (AL347_24830);PA3591;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3590 (AL347_24835);PA3590;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3589 (AL347_24840);PA3589;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3588 (AL347_24845);PA3588;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3582 (AL347_24880);PA3582 (glpK);+;Homology from 25780925
rpoS (AL347_24665);rpoS;glpF (AL347_24885);glpF;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3572 (AL347_24940);PA3572;+;Homology from 25780925
rpoS (AL347_24665);rpoS;bfrB (AL347_25155);bfrB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;rhlR (AL347_25325);rhlR;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3465 (AL347_25390);PA3465;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3451 (AL347_25465);PA3451;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3418 (AL347_25630);PA3418 (ldh);+;Homology from 25780925
rpoS (AL347_24665);rpoS;hsbA (AL347_26015);hsbA;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3346 (AL347_26020);PA3346 (hsbR);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3340 (AL347_26055);PA3340;+;Homology from 25780925
rpoS (AL347_24665);rpoS;clpP2 (AL347_26125);clpP2;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3311 (AL347_26200);PA3311 (nbdA);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3305 (AL347_26235);PA3305;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3289 (AL347_26330);PA3289;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3261 (AL347_26495);PA3261;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3254 (AL347_00250);PA3254;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3253 (AL347_00255);PA3253;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3252 (AL347_00260);PA3252;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3251 (AL347_00265);PA3251;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3250 (AL347_00270);PA3250;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3179 (AL347_26925);PA3179;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA3032 (AL347_27690);PA3032 (snr1);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2939 (AL347_28180);PA2939;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2933 (AL347_28215);PA2933;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2851 (AL347_28635);PA2851 (efp);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2841 (AL347_28685);PA2841;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2801 (AL347_28895);PA2801;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2790 (AL347_29185);PA2790;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2779 (AL347_29245);PA2779;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2746 (AL347_29480);PA2746;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2700 (AL347_29910);PA2700 (opdB);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2677 (AL347_30025);PA2677;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2573 (AL347_31760);PA2573;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2572 (AL347_31765);PA2572;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2571 (AL347_31770);PA2571;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2563 (AL347_31820);PA2563;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2501 (AL347_32470);PA2501;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2475 (AL347_32645);PA2475;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2371 (AL347_33165);PA2371 (clpV3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2370 (AL347_33170);PA2370 (hsiH3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2369 (AL347_33175);PA2369 (hsiG3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2368 (AL347_33180);PA2368 (hsiF3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2367 (AL347_33185);PA2367 (hcp3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2366 (AL347_33190);PA2366 (hsiC3, puuD);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2365 (AL347_33195);PA2365 (hsiB3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2364 (AL347_33200);PA2364 (lip3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2363 (AL347_33205);PA2363 (hsiJ3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2362 (AL347_33210);PA2362 (dotU3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2361 (AL347_33215);PA2361 (icmF3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2360 (AL347_33220);PA2360 (hsiA3);+;Homology from 25780925
rpoS (AL347_24665);rpoS;bkdB (AL347_00820);bkdB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;bkdA2 (AL347_00825);bkdA2;+;Homology from 25780925
rpoS (AL347_24665);rpoS;bkdA1 (AL347_00830);bkdA1;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2076 (AL347_02210);PA2076;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2072 (AL347_02240);PA2072;+;Homology from 25780925
rpoS (AL347_24665);rpoS;cmrA (AL347_02370);cmrA;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA2024 (AL347_02485);PA2024;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1951 (AL347_02860);PA1951 (fapF);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1930 (AL347_02950);PA1930;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1888 (AL347_03180);PA1888;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1887 (AL347_03185);PA1887;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1881 (AL347_03215);PA1881;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1880 (AL347_03220);PA1880;+;Homology from 25780925
rpoS (AL347_24665);rpoS;bapB (AL347_03245);bapB;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1860 (AL347_03325);PA1860;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1784 (AL347_03760);PA1784;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1745 (AL347_03970);PA1745;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1728 (AL347_04060);PA1728;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1590 (AL347_04775);PA1590 (braB);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1584 (AL347_04805);PA1584 (sdhB);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1583 (AL347_04810);PA1583 (sdhA);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1582 (AL347_04815);PA1582 (sdhD);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1581 (AL347_04820);PA1581 (sdhC, cybA);+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1563 (AL347_04925);PA1563;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1562 (AL347_04930);PA1562  (acnA, acn);+;Homology from 25780925
rpoS (AL347_24665);rpoS;gbuR (AL347_05705);gbuR;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1415 (AL347_05740);PA1415;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1414 (AL347_05745);PA1414;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1358 (AL347_06305);PA1358;+;Homology from 25780925
rpoS (AL347_24665);rpoS;PA1343 (AL347_06380);PA1343;+;Homology from 25780925
